Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,avg_fill_rate,rank
"Adjusted net enrolment rate, lower secondary, both sexes (%)",0.4930232558139535,0.49767441860465117,0.4744186046511628,0.4604651162790698,0.3953488372093023,0.013953488372093023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15565891472868215,7.0
"Adjusted net enrolment rate, upper secondary, both sexes (%)",0.2651162790697674,0.2651162790697674,0.24651162790697675,0.46511627906976744,0.4186046511627907,0.013953488372093023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11162790697674417,13.0
"Enrolment in secondary general, both sexes (number)",0.7302325581395349,0.7581395348837209,0.7581395348837209,0.7255813953488373,0.7255813953488373,0.6511627906976745,0.05581395348837209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29364341085271317,4.0
"Enrolment in tertiary education, all programmes, both sexes (number)",0.6511627906976745,0.6604651162790698,0.6558139534883721,0.6093023255813953,0.5767441860465117,0.5116279069767442,0.03255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24651162790697675,6.0
GDP at market prices (constant 2005 US$),0.9348837209302325,0.9162790697674419,0.9069767441860465,0.9069767441860465,0.8976744186046511,0.8930232558139535,0.8604651162790697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42108527131782947,3.0
GDP at market prices (current US$),0.9395348837209302,0.9395348837209302,0.9209302325581395,0.9255813953488372,0.9116279069767442,0.9069767441860465,0.8744186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42790697674418604,2.0
GDP per capita (current US$),0.9395348837209302,0.9395348837209302,0.9209302325581395,0.9255813953488372,0.9116279069767442,0.9069767441860465,0.8744186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42790697674418604,2.0
Government expenditure on secondary education as % of GDP (%),0.5023255813953489,0.4930232558139535,0.3953488372093023,0.34418604651162793,0.1813953488372093,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12806201550387597,12.0
Government expenditure on tertiary education as % of GDP (%),0.5255813953488372,0.48372093023255813,0.4186046511627907,0.34418604651162793,0.16744186046511628,0.004651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1296124031007752,11.0
Government expenditure per secondary student (US$),0.4325581395348837,0.4558139534883721,0.32558139534883723,0.28837209302325584,0.15348837209302327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11038759689922481,14.0
Government expenditure per secondary student as % of GDP per capita (%),0.4418604651162791,0.46511627906976744,0.3674418604651163,0.4186046511627907,0.3209302325581395,0.17209302325581396,0.013953488372093023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14666666666666667,9.0
Government expenditure per tertiary student (US$),0.4418604651162791,0.40930232558139534,0.34418604651162793,0.2558139534883721,0.10232558139534884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10356589147286822,15.0
Government expenditure per tertiary student as % of GDP per capita (%),0.44651162790697674,0.42790697674418604,0.40930232558139534,0.4418604651162791,0.2930232558139535,0.13023255813953488,0.009302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14387596899224808,10.0
"Gross enrolment ratio, secondary, both sexes (%)",0.6790697674418604,0.6976744186046512,0.6697674418604651,0.627906976744186,0.627906976744186,0.5488372093023256,0.037209302325581395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25922480620155036,5.0
Internet users (per 100 people),0.9395348837209302,0.9488372093023256,0.9395348837209302,0.9348837209302325,0.9348837209302325,0.9348837209302325,0.9348837209302325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4378294573643411,1.0
Personal computers (per 100 people),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Wittgenstein Projection: Population age 15-19 in thousands by highest level of educational attainment. Post Secondary. Total,0.772093023255814,0.0,0.0,0.0,0.0,0.772093023255814,0.0,0.0,0.0,0.0,0.772093023255814,0.0,0.0,0.0,0.0,0.15441860465116278,8.0
Wittgenstein Projection: Population age 15-19 in thousands by highest level of educational attainment. Upper Secondary. Total,0.772093023255814,0.0,0.0,0.0,0.0,0.772093023255814,0.0,0.0,0.0,0.0,0.772093023255814,0.0,0.0,0.0,0.0,0.15441860465116278,8.0
